ID,attachment_elastic_constant,attachment_rate,calcification_rate,calcified_fraction,cancer_cell_attack_rates,cancer_cell_cell_adhesion_affinities,cancer_cell_fusion_rates,cancer_cell_live_phagocytosis_rates,cancer_cell_transformation_rates,cell_BM_adhesion_strength,cell_BM_repulsion_strength,cell_cell_adhesion_strength,cell_cell_repulsion_strength,cell_count_voxel,cell_density_micron3,cell_type,chemotaxis_direction,chemotaxis_index,contact_with_basement_membrane,current_cycle_phase_exit_rate,current_death_model,current_phase,cycle_model,cytoplasmic_biomass_change_rate,cytoplasmic_volume,damage,damage_rate,dead,dead_phagocytosis_rate,death_rates_0,death_rates_1,detachment_rate,elapsed_time_in_phase,fluid_change_rate,fluid_fraction,generation,is_motile,maximum_number_of_attachments,mesh_center_m,mesh_center_n,mesh_center_p,migration_bias,migration_bias_direction_vectorlength,migration_bias_direction_x,migration_bias_direction_y,migration_bias_direction_z,migration_speed,motility_vector_vectorlength,motility_vector_x,motility_vector_y,motility_vector_z,nuclear_biomass_change_rate,nuclear_radius,nuclear_volume,number_of_nuclei,oncoprotein,orientation_vectorlength,orientation_x,orientation_y,orientation_z,oxygen,oxygen_chemotactic_sensitivities,oxygen_decay_rate,oxygen_diffusion_coefficient,oxygen_fraction_released_at_death,oxygen_fraction_transferred_when_ingested,oxygen_internalized_total_substrates,oxygen_net_export_rates,oxygen_saturation_densities,oxygen_secretion_rates,oxygen_uptake_rates,parent_ID,persistence_time,polarity,position_vectorlength,position_x,position_y,position_z,pressure,radius,relative_maximum_adhesion_distance,runtime,surface_area,target_fluid_fraction,target_solid_cytoplasmic,target_solid_nuclear,time,total_attack_time,total_volume,tree_ID,velocity_vectorlength,velocity_x,velocity_y,velocity_z,voxel_i,voxel_j,voxel_k
901,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,100.0,0.4,10.0,2,0.00025,cancer_cell,1.0,0,False,0.0001518792597073626,0,live,live_cells_cycle_model,0.0045,1410.4480245988443,0.0,1.0,False,0.0,5.31667e-05,0.0,0.0,215.99999999980355,0.05,0.7246595882129439,2.0,False,12,-230.0,70.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0055,4.618606116489194,412.6875701143275,1,1.3623207638619208,1.0,0.0,0.0,1.0,10.105339877621047,0.0,0.1,100000.0,0.0,0.0,77003689.35288289,0.0,1.0,0.0,10.0,901.1,1.0,1.0,232.7698122094559,-221.64643304590805,71.09602094386968,0.0,0.373391386624417,7.578387134058044,1.25,1.0622592499999999,721.711188329169,0.75,488.5,135.0,780.0,0.0,1823.135594713172,901.2,0.0,0.0,0.0,0.0,38,53,0
924,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,100.0,0.4,10.0,2,0.00025,cancer_cell,1.0,0,False,0.00012096059409239643,0,live,live_cells_cycle_model,0.0045,874.0653448388359,0.0,1.0,False,0.0,5.31667e-05,0.0,0.0,95.99999999991269,0.05,0.686294028461557,2.0,False,12,210.0,110.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0055,3.9708507707946175,262.26437853626084,1,1.0908689641279365,1.0,0.0,0.0,1.0,10.071386196752746,0.0,0.1,100000.0,0.0,0.0,53014578.03884887,0.0,1.0,0.0,10.0,922.1,1.0,1.0,247.80996258344737,218.82751100355205,116.29401525272009,0.0,0.7157900052236108,6.47349155589854,1.25,1.0622592499999999,526.6074946863991,0.75,488.5,135.0,780.0,0.0,1136.3297233750968,924.2,0.0,0.0,0.0,0.0,60,55,0
924,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,100.0,0.4,10.0,2,0.00025,cancer_cell,1.0,0,False,0.00011978177733170538,0,live,live_cells_cycle_model,0.0045,1090.6924483063888,0.0,1.0,False,0.0,5.31667e-05,0.0,0.0,155.99999999985812,0.05,0.7017002853630302,2.0,False,12,230.0,110.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0055,4.272642754048759,326.72198207611274,1,1.0908689641279365,1.0,0.0,0.0,1.0,10.795653859637817,0.0,0.1,100000.0,0.0,0.0,60887766.564163506,0.0,1.0,0.0,10.0,922.1,1.0,1.0,248.64270835718293,220.0649726110988,115.73506058611396,0.0,0.5946357128258803,6.9684482664501575,1.25,1.1302675333333334,610.2137991925808,0.75,488.5,135.0,840.0,0.0,1417.4144303825015,924.2,0.0,0.0,0.0,0.0,61,55,0
922,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,100.0,0.4,10.0,1,0.000125,cancer_cell,1.0,0,False,0.0001289565151257264,0,live,live_cells_cycle_model,0.0045,1090.6924483063888,0.0,1.0,False,0.0,5.31667e-05,0.0,0.0,155.99999999985812,0.05,0.7017002853630302,2.0,False,12,210.0,130.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0055,4.272642754048759,326.72198207611274,1,1.0908689641279365,1.0,0.0,0.0,1.0,10.750275742759992,0.0,0.1,100000.0,0.0,0.0,61551130.8975167,0.0,1.0,0.0,10.0,922.1,1.0,1.0,248.25058191875587,213.4486775153696,126.75966823063506,0.0,0.6711227708476659,6.9684482664501575,1.25,1.1302675333333334,610.2137991925808,0.75,488.5,135.0,840.0,0.0,1417.4144303825015,922.2,0.0,0.0,0.0,0.0,60,56,0
920,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,100.0,0.4,10.0,3,0.000375,cancer_cell,1.0,0,False,0.00014891002583112184,0,live,live_cells_cycle_model,0.0045,1533.8256753870155,0.0,1.0,False,0.0,5.31667e-05,0.0,0.0,275.999999999749,0.05,0.7312200451428649,2.0,False,12,-230.0,90.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0055,4.7386757745146495,445.717405360992,1,1.3623207638619208,1.0,0.0,0.0,1.0,10.0054099760214,0.0,0.1,100000.0,0.0,0.0,90393204.45352656,0.0,1.0,0.0,10.0,901.1,1.0,1.0,240.88961996327953,-225.4245117489726,84.92113110875613,0.0,0.38725294788029657,7.78918674518594,1.25,1.1302675333333334,762.4196769854512,0.75,488.5,135.0,840.0,0.0,1979.5430807480075,920.2,0.0,0.0,0.0,0.0,38,54,0
901,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,100.0,0.4,10.0,2,0.00025,cancer_cell,1.0,0,False,0.0001502582516107479,0,live,live_cells_cycle_model,0.0045,1533.8256753870155,0.0,1.0,False,0.0,5.31667e-05,0.0,0.0,275.999999999749,0.05,0.7312200451428649,2.0,False,12,-230.0,70.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0055,4.7386757745146495,445.717405360992,1,1.3623207638619208,1.0,0.0,0.0,1.0,10.050555034880317,0.0,0.1,100000.0,0.0,0.0,88621042.89751203,0.0,1.0,0.0,10.0,901.1,1.0,1.0,232.61100510323067,-221.69456920895271,70.42299112074176,0.0,0.3312498085092361,7.78918674518594,1.25,1.1302675333333334,762.4196769854512,0.75,488.5,135.0,840.0,0.0,1979.5430807480075,901.2,0.0,0.0,0.0,0.0,38,53,0
924,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,100.0,0.4,10.0,2,0.00025,cancer_cell,1.0,0,False,0.00013662839565384863,0,live,live_cells_cycle_model,0.0045,1278.8377561924558,0.0,1.0,False,0.0,5.31667e-05,0.0,0.0,215.99999999980355,0.05,0.7151271604522237,2.0,False,12,230.0,110.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0055,4.493676123293023,380.0965372001501,1,1.0908689641279365,1.0,0.0,0.0,1.0,10.736425654539987,0.0,0.1,100000.0,0.0,0.0,70969337.4661447,0.0,1.0,0.0,10.0,922.1,1.0,1.0,249.005728995247,220.8805825656997,114.95921588933838,0.0,0.5441733539113077,7.3436762958483754,1.25,1.1998026499999999,677.6991086863904,0.75,488.5,135.0,900.0,0.0,1658.934293392606,924.2,0.0,0.0,0.0,0.0,61,55,0
922,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,100.0,0.4,10.0,1,0.000125,cancer_cell,1.0,0,False,0.0001355091902987989,0,live,live_cells_cycle_model,0.0045,1278.8377561924558,0.0,1.0,False,0.0,5.31667e-05,0.0,0.0,215.99999999980355,0.05,0.7151271604522237,2.0,False,12,210.0,130.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0055,4.493676123293023,380.0965372001501,1,1.0908689641279365,1.0,0.0,0.0,1.0,10.689923064985626,0.0,0.1,100000.0,0.0,0.0,71541270.603921,0.0,1.0,0.0,10.0,922.1,1.0,1.0,248.87235768519443,214.176073223404,126.7519628186895,0.0,0.7706322223694119,7.3436762958483754,1.25,1.1998026499999999,677.6991086863904,0.75,488.5,135.0,900.0,0.0,1658.934293392606,922.2,0.0,0.0,0.0,0.0,60,56,0
920,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,100.0,0.4,10.0,3,0.000375,cancer_cell,1.0,0,False,0.00014790618330227972,0,live,live_cells_cycle_model,0.0045,1631.6402385684733,0.0,1.0,False,0.0,5.31667e-05,0.0,0.0,335.9999999996944,0.05,0.7361772280134873,2.0,False,12,-230.0,90.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0055,4.825771774685637,470.74850145046497,1,1.3623207638619208,1.0,0.0,0.0,1.0,9.972949719199148,0.0,0.1,100000.0,0.0,0.0,103209966.88395017,0.0,1.0,0.0,10.0,901.1,1.0,1.0,241.15439436532517,-225.78691435482924,84.70956987160186,0.0,0.3926560890274674,7.947090112406894,1.25,1.1998026499999999,793.6447342166347,0.75,488.5,135.0,900.0,0.0,2102.3887400189383,920.2,0.0,0.0,0.0,0.0,38,54,0
901,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,100.0,0.4,10.0,2,0.00025,cancer_cell,1.0,0,False,0.000149233112602319,0,live,live_cells_cycle_model,0.0045,1631.6402385684733,0.0,1.0,False,0.0,5.31667e-05,0.0,0.0,335.9999999996944,0.05,0.7361772280134873,2.0,False,12,-230.0,70.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0055,4.825771774685637,470.74850145046497,1,1.3623207638619208,1.0,0.0,0.0,1.0,10.017444008388326,0.0,0.1,100000.0,0.0,0.0,101003753.97850412,0.0,1.0,0.0,10.0,901.1,1.0,1.0,232.46016225697454,-221.62077188846916,70.15668538420304,0.0,0.4500144998653962,7.947090112406894,1.25,1.1998026499999999,793.6447342166347,0.75,488.5,135.0,900.0,0.0,2102.3887400189383,901.2,0.0,0.0,0.0,0.0,38,53,0
